object_kind,object_name,parent_entity,property,property_value
EXTENSION,CA,,VALUE,"{""tables"":[{""name"":""MOVIES_DASHBOARD"",""dimensions"":[{""name"":""GENRE"",""sample_values"":[""Adventure"",""Animation"",""Children""]},{""name"":""INTERACTION_TIMESTAMP"",""sample_values"":[""850925363"",""925478621"",""1615072864""]},{""name"":""INTERACTION_TYPE"",""sample_values"":[""click"",""watch""]},{""name"":""MOVIE_ID"",""sample_values"":[""1"",""2"",""3""]},{""name"":""MOVIE_RELEASE_YEAR"",""sample_values"":[""1995""]},{""name"":""MOVIE_TITLE"",""sample_values"":[""Toy Story "",""Grumpier Old Men "",""Jumanji ""]},{""name"":""USER_CITY"",""sample_values"":[""Lake Brandonville"",""St. Elizabeth"",""Lindseyberg""]},{""name"":""USER_COUNTRY"",""sample_values"":[""Australia"",""USA""]},{""name"":""USER_EMAIL"",""sample_values"":[""Mary.Anderson@russell-contreras.com"",""Pamela.Zimmerman@miller.org.au"",""Scott.Williams@hensley.edu.au""]},{""name"":""USER_FIRSTNAME"",""sample_values"":[""Tracy"",""Laurie"",""Donna""]},{""name"":""USER_ID"",""sample_values"":[""327518"",""76657"",""252390""]},{""name"":""USER_LASTNAME"",""sample_values"":[""Chaney"",""Patterson"",""Buchanan""]},{""name"":""USER_PHONENUMBER"",""sample_values"":[""+61.3.2925.6074"",""6234-6128"",""(280)475-9552x00772""]},{""name"":""USER_STATE"",""sample_values"":[""WA"",""ACT"",""VIC""]}],""facts"":[{""name"":""USER_RATING"",""sample_values"":[""1.5"",""2.5"",""2""]}],""time_dimensions"":[{""name"":""RATING_TIMESTAMP"",""sample_values"":[""2005-08-01T18:23:17.000+0000"",""2008-12-10T21:49:46.000+0000"",""2006-05-23T17:26:28.000+0000""]}]}]}"
,,,COMMENT,this is the semantic view for our movies lens
TABLE,MOVIES_DASHBOARD,,BASE_TABLE_DATABASE_NAME,MOVIELENS
TABLE,MOVIES_DASHBOARD,,BASE_TABLE_SCHEMA_NAME,DATA
TABLE,MOVIES_DASHBOARD,,BASE_TABLE_NAME,MOVIES_DASHBOARD
TABLE,MOVIES_DASHBOARD,,COMMENT,"This table stores information about movies, user ratings, and user interactions with the movies. It captures movie details such as title, release year, and genre, as well as user information including name, location, and contact details. The table also tracks user ratings and interactions with the movies, including the timestamp of the interaction and the type of interaction."
DIMENSION,GENRE,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,GENRE,MOVIES_DASHBOARD,EXPRESSION,GENRE
DIMENSION,GENRE,MOVIES_DASHBOARD,DATA_TYPE,VARCHAR(16777216)
DIMENSION,GENRE,MOVIES_DASHBOARD,COMMENT,"The type of movie genre, such as action, comedy, drama, etc., that categorizes the movie's style, tone, and content."
DIMENSION,GENRE,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,INTERACTION_TIMESTAMP,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,INTERACTION_TIMESTAMP,MOVIES_DASHBOARD,EXPRESSION,INTERACTION_TIMESTAMP
DIMENSION,INTERACTION_TIMESTAMP,MOVIES_DASHBOARD,DATA_TYPE,"NUMBER(38,0)"
DIMENSION,INTERACTION_TIMESTAMP,MOVIES_DASHBOARD,COMMENT,"The timestamp when a user interacted with the movie, representing the number of seconds that have elapsed since January 1, 1970, at 00:00:00 UTC."
DIMENSION,INTERACTION_TIMESTAMP,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,INTERACTION_TYPE,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,INTERACTION_TYPE,MOVIES_DASHBOARD,EXPRESSION,INTERACTION_TYPE
DIMENSION,INTERACTION_TYPE,MOVIES_DASHBOARD,DATA_TYPE,VARCHAR(16777216)
DIMENSION,INTERACTION_TYPE,MOVIES_DASHBOARD,COMMENT,"The type of interaction a user had with a movie, either clicking on it or watching it."
DIMENSION,INTERACTION_TYPE,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,MOVIE_ID,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,MOVIE_ID,MOVIES_DASHBOARD,EXPRESSION,MOVIE_ID
DIMENSION,MOVIE_ID,MOVIES_DASHBOARD,DATA_TYPE,"NUMBER(38,0)"
DIMENSION,MOVIE_ID,MOVIES_DASHBOARD,COMMENT,Unique identifier for each movie in the database.
DIMENSION,MOVIE_ID,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,MOVIE_RELEASE_YEAR,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,MOVIE_RELEASE_YEAR,MOVIES_DASHBOARD,EXPRESSION,MOVIE_RELEASE_YEAR
DIMENSION,MOVIE_RELEASE_YEAR,MOVIES_DASHBOARD,DATA_TYPE,"NUMBER(38,0)"
DIMENSION,MOVIE_RELEASE_YEAR,MOVIES_DASHBOARD,COMMENT,The year in which the movie was released.
DIMENSION,MOVIE_RELEASE_YEAR,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,MOVIE_TITLE,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,MOVIE_TITLE,MOVIES_DASHBOARD,EXPRESSION,MOVIE_TITLE
DIMENSION,MOVIE_TITLE,MOVIES_DASHBOARD,DATA_TYPE,VARCHAR(16777216)
DIMENSION,MOVIE_TITLE,MOVIES_DASHBOARD,COMMENT,The title of the movie.
DIMENSION,MOVIE_TITLE,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,RATING_TIMESTAMP,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,RATING_TIMESTAMP,MOVIES_DASHBOARD,EXPRESSION,RATING_TIMESTAMP
DIMENSION,RATING_TIMESTAMP,MOVIES_DASHBOARD,DATA_TYPE,TIMESTAMP_NTZ(9)
DIMENSION,RATING_TIMESTAMP,MOVIES_DASHBOARD,COMMENT,The date and time when a movie rating was recorded.
DIMENSION,RATING_TIMESTAMP,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,USER_CITY,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,USER_CITY,MOVIES_DASHBOARD,EXPRESSION,USER_CITY
DIMENSION,USER_CITY,MOVIES_DASHBOARD,DATA_TYPE,VARCHAR(16777216)
DIMENSION,USER_CITY,MOVIES_DASHBOARD,COMMENT,The city where the user is located.
DIMENSION,USER_CITY,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,USER_COUNTRY,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,USER_COUNTRY,MOVIES_DASHBOARD,EXPRESSION,USER_COUNTRY
DIMENSION,USER_COUNTRY,MOVIES_DASHBOARD,DATA_TYPE,VARCHAR(16777216)
DIMENSION,USER_COUNTRY,MOVIES_DASHBOARD,COMMENT,The country where the user is located.
DIMENSION,USER_COUNTRY,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,USER_EMAIL,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,USER_EMAIL,MOVIES_DASHBOARD,EXPRESSION,USER_EMAIL
DIMENSION,USER_EMAIL,MOVIES_DASHBOARD,DATA_TYPE,VARCHAR(16777216)
DIMENSION,USER_EMAIL,MOVIES_DASHBOARD,COMMENT,The email address of the user who interacted with the movie content.
DIMENSION,USER_EMAIL,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,USER_FIRSTNAME,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,USER_FIRSTNAME,MOVIES_DASHBOARD,EXPRESSION,USER_FIRSTNAME
DIMENSION,USER_FIRSTNAME,MOVIES_DASHBOARD,DATA_TYPE,VARCHAR(16777216)
DIMENSION,USER_FIRSTNAME,MOVIES_DASHBOARD,COMMENT,The first name of the user who interacted with the movie.
DIMENSION,USER_FIRSTNAME,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,USER_ID,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,USER_ID,MOVIES_DASHBOARD,EXPRESSION,USER_ID
DIMENSION,USER_ID,MOVIES_DASHBOARD,DATA_TYPE,"NUMBER(38,0)"
DIMENSION,USER_ID,MOVIES_DASHBOARD,COMMENT,Unique identifier for the user who interacted with the movie.
DIMENSION,USER_ID,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,USER_LASTNAME,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,USER_LASTNAME,MOVIES_DASHBOARD,EXPRESSION,USER_LASTNAME
DIMENSION,USER_LASTNAME,MOVIES_DASHBOARD,DATA_TYPE,VARCHAR(16777216)
DIMENSION,USER_LASTNAME,MOVIES_DASHBOARD,COMMENT,The last name of the user who interacted with the movie.
DIMENSION,USER_LASTNAME,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,USER_PHONENUMBER,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,USER_PHONENUMBER,MOVIES_DASHBOARD,EXPRESSION,USER_PHONENUMBER
DIMENSION,USER_PHONENUMBER,MOVIES_DASHBOARD,DATA_TYPE,VARCHAR(16777216)
DIMENSION,USER_PHONENUMBER,MOVIES_DASHBOARD,COMMENT,The phone number of the user who interacted with the movie content.
DIMENSION,USER_PHONENUMBER,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
FACT,USER_RATING,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
FACT,USER_RATING,MOVIES_DASHBOARD,EXPRESSION,USER_RATING
FACT,USER_RATING,MOVIES_DASHBOARD,DATA_TYPE,FLOAT
FACT,USER_RATING,MOVIES_DASHBOARD,COMMENT,"Average rating given by users to a movie, on a scale of 1 to 5."
FACT,USER_RATING,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
DIMENSION,USER_STATE,MOVIES_DASHBOARD,TABLE,MOVIES_DASHBOARD
DIMENSION,USER_STATE,MOVIES_DASHBOARD,EXPRESSION,USER_STATE
DIMENSION,USER_STATE,MOVIES_DASHBOARD,DATA_TYPE,VARCHAR(16777216)
DIMENSION,USER_STATE,MOVIES_DASHBOARD,COMMENT,The state in which the user is located.
DIMENSION,USER_STATE,MOVIES_DASHBOARD,ACCESS_MODIFIER,PUBLIC
